Reference, Quantity, man#
AE1 ,1,2450AT18B100E
C1 C22 C3 C4 ,4,C1608X5R1A475K080AE
C10 ,1,C0603X7R0J103M030BC
C11 C13 C21 C24 C9 ,5,GCM155R71C104KA55D
C12 C19 ,2,GCM155R71H222KA37D
C14 ,1,VJ0402A1R5BXQPW1BC
C15 C16 C26 C27 ,4,GCM1555C1H120GA16D
C17 ,1,GRM0225C1E1R0BA03L
C18 ,1,VJ0402A2R2BXQPW1BC
C2 ,1,GRM188R60J106KE47D
C20 ,1,885012205006
C23 ,1,885012205054
C25 C5 C6 C7 C8 ,5,LMK107B7105KAHT
D1 ,1,CLMVC-FKC-CGJJM569aBB7a343
D2 ,1,B130LAW-7-F
IC1 ,1,MAX30105EFD+
J1 ,1,47346-0001
J2 ,1,665102131822
L1 ,1,36541E3N3JTDG
L2 ,1,L0603100JGWTR
L3 ,1,3-1624112-4
L4 ,1,MLZ1608E100MT
L5 ,1,MLK1005S15NJ
PROG1 ,1,
Q1 Q2 Q3 ,3,NTK3134NT1G
Q4 ,1,DMP1045U-7
R10 ,1,CRCW04022M20JNED
R11 R14 ,2,RCG0402100KJNED
R15 ,1,ERJ-U02D4701X
R1 R2 ,2,RR0510R-330-D
R3 R4 ,2,ERJ-U02D1000X
R12 R13 R16 R17 R18 R5 R6 R7 ,8,ERJ-U02D1002X
R8 ,1,CRCW04022K00JNEDC
R9 ,1,SFR01MZPJ106
SW1 ,1,PTS810SJK250SMTRLFS
U1 ,1,MCP73831T-2ACI/OT
U2 ,1,XC6415CC06MR-G
U3 ,1,MPU-6050
U4 ,1,TMP112AIDRLR
U5 ,1,nRF51822-QFAA-R7
Y1 ,1,ECS-160-10-36Q-ES-TR
Y2 ,1,LFXTAL009706Bulk
